movie_id,imdb_id,title,original_title,status,original_language,adult,video,release_date,release_year,release_month,release_day_of_week,budget,revenue,net_profit,roi,runtime,movie_popularity,vote_average,vote_count,collection_name,is_part_of_franchise,primary_genre,primary_production_company,primary_country,director_name,cast,overview,tagline
5,tt0113101,Four Rooms,Four Rooms,Released,en,False,False,1995-12-09,1995.0,12.0,6.0,4000000,4257354,257354,1.0643385,98,6.22,5.9,2896,,0,Comedy,Miramax,United States,"Allison Anders, Alexandre Rockwell, Quentin Tarantino, Robert Rodriguez","Tim Roth, Jennifer Beals, David Proval, Ione Skye, Madonna, Antonio Banderas, Quentin Tarantino, Paul Calderon, Bruce Willis, Lana McKissack, Danny Verduzco, Marisa Tomei, Kathy Griffin, Tamlyn Tomita, Valeria Golino, Alicia Witt, Sammi Davis, Amanda de Cadenet, Lili Taylor, Patricia Vonne, Salma Hayek Pinault, Lawrence Bender, Kimberly Blair, Quinn Hellerman, Marc Lawrence, Paul Skemp, Unruly Julie McClean, Laura Rush",It's Ted the Bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments. It seems that this evening's room service is serving up one unbelievable happening after another.,"Twelve outrageous guests. Four scandalous requests. And one lone bellhop, in his first day on the job, who's in for the wildest New year's Eve of his life."
6,tt0107286,Judgment Night,Judgment Night,Released,en,False,False,1993-10-15,1993.0,10.0,5.0,21000000,12136938,-8863062,0.5779494285714286,110,3.672,6.5,386,,0,Drama,Universal Pictures,United States,Stephen Hopkins,"Emilio Estevez, Cuba Gooding Jr., Denis Leary, Stephen Dorff, Jeremy Piven, Peter Greene, Michael DeLorenzo, Everlast, Michael Wiseman, Relioues Webb, Eugene Williams, Christine Harnos, Galyn Görg, Angela Alvarado, Will Zahrn, Lauren Robinson, Doug Wert, Raichle Watt, Deirdre Kelly, Kathleen Perkins, David L. Crowley, Stuart Abramson, Mark Phelan, Nigel Gibbs, Sean O'Grady, Lydell M. Cheshier, Michael Scranton, Robert S. Neville, Hank McGill, Donovan D. Ross, Darin Mangan","Four young friends, while taking a shortcut en route to a local boxing match, witness a brutal murder which leaves them running for their lives.",Don't move. Don't whisper. Don't even breathe.
11,tt0076759,Star Wars,Star Wars,Released,en,False,False,1977-05-25,1977.0,5.0,3.0,11000000,775398007,764398007,70.49072790909091,121,32.579,8.2,22720,Star Wars Collection,1,Adventure,Lucasfilm Ltd.,United States,George Lucas,"Mark Hamill, Harrison Ford, Carrie Fisher, Peter Cushing, Alec Guinness, Anthony Daniels, Kenny Baker, Peter Mayhew, David Prowse, James Earl Jones, Phil Brown, Shelagh Fraser, Jack Purvis, Alex McCrindle, Eddie Byrne, Drewe Henley, Denis Lawson, Garrick Hagon, Jack Klaff, William Hootkins, Angus MacInnes, Jeremy Sinden, Graham Ashley, Don Henderson, Richard LeParmentier, Leslie Schofield, Michael Leader, David Ankrum, Scott Beach, Lightning Bear, Jon Berg, Doug Beswick, Paul Blake, Janice Burchette, Ted Burnett, John Chapman, Gilda Cohen, Tim Condren, Barry Copping, Alfie Curtis, Robert Davies, Maria De Aragon, Robert A. Denham, Frazer Diamond, Peter Diamond, Warwick Diamond, Sadie Eden, Kim Falkinburg, Harry Fielder, Ted Gagliano, Salo Gardner, Steve Gawley, Barry Gnome, Rusty Goffe, Isaac Grand, Reg Harding, Alan Harris, Frank Henson, Arthur Howell, Tommy Ilsley, Joe Johnston, Linda Jones, Joe Kaye, Colin Michael Kitchens, Melissa Kurtz, Tiffany Hillkurtz, Al Lampert, Anthony Lang, Derek Lyons, Mahjoub, Alf Mangan, Grant McCune, Geoffrey Moon, Mandy Morton, Lorne Peterson, Marcus Powell, Shane Rimmer, Pam Rose, George Roubicek, Erica Simmons, Angela Staines, George Stock, Roy Straite, Peter Sturgeon, Peter Sumner, John Sylla, Tom Sylla, Malcolm Tierney, Phil Tippett, Burnell Tucker, Morgan Upton, Jerry Walter, Hal Wamsley, Diana Sadley Way, Bill Weston, Fred Wood, Colin Higgins, Ron Tarr, Anthony Forrest, John Cannon, Larry Ward, Eddie Eddon, Rick McCallum, Steve Williams, Ian Selby",Princess Leia is captured and held hostage by the evil Imperial forces in their effort to take over the galactic Empire. Venturesome Luke Skywalker and dashing captain Han Solo team together with the loveable robot duo R2-D2 and C-3PO to rescue the beautiful princess and restore peace and justice in the Empire.,"A long time ago in a galaxy far, far away..."
12,tt0266543,Finding Nemo,Finding Nemo,Released,en,False,False,2003-05-30,2003.0,5.0,5.0,94000000,940335536,846335536,10.003569531914893,100,29.43,7.8,20863,Finding Nemo Collection,1,Adventure,Pixar,United States,Andrew Stanton,"Albert Brooks, Ellen DeGeneres, Alexander Gould, Willem Dafoe, Geoffrey Rush, Brad Garrett, Allison Janney, Austin Pendleton, Stephen Root, Vicki Lewis, Joe Ranft, Andrew Stanton, Elizabeth Perkins, Nicholas Bird, Bob Peterson, Barry Humphries, Eric Bana, Bruce Spence, Bill Hunter, LuLu Ebeling, Jordan Ranft, Erica Beck, Erik Per Sullivan, John Ratzenberger, Carlos Alazraqui, Alec Medlock, Bob Bergen, Nicole Miller, Geoff Brooks, Lisa Peers, Paul Eiding, Phil Proctor, Leland Grossman, Daryl Sabara, Lili Ishida, Emmett Shoemaker, Oliver Kindred, Ben Stanton, Danny Mann, Kali Whitehurst, Rove McManus, James S. Baker, Vanessa Marano, Susan Blu, Annelise Nolting, Jeff Pidgeon, Jennifer Darling, Aaron Fors, Katherine Ringgold, Jess Harnell, David Ian Salter, Caroline Kindred, Sherry Lynn, Jim Ward, Mickie McGowan, Jack Angel, Laura Marano, Bobby Block, Laraine Newman, Jane Carr, Michaela Jill Murphy, Jan Rabson, Bradley Trevor Greive, Evan Sabara, Marc John Jefferies, Eliza Schneider, Lee Unkrich, Noah Luke, Matilda Rowler","Nemo, an adventurous young clownfish, is unexpectedly taken from his Great Barrier Reef home to a dentist's office aquarium. It's up to his worrisome father Marlin and a friendly but forgetful fish Dory to bring Nemo home -- meeting vegetarian sharks, surfer dude turtles, hypnotic jellyfish, hungry seagulls, and more along the way.",There are 3.7 trillion fish in the ocean. They're looking for one.
13,tt0109830,Forrest Gump,Forrest Gump,Released,en,False,False,1994-06-23,1994.0,6.0,4.0,55000000,677387716,622387716,12.316140290909091,142,38.15,8.5,30283,,0,Drama,Paramount Pictures,United States,Robert Zemeckis,"Tom Hanks, Robin Wright, Gary Sinise, Sally Field, Mykelti Williamson, Michael Conner Humphreys, Hanna Hall, Haley Joel Osment, Siobhan Fallon Hogan, Rebecca Williams, Bob Penny, Harold G. Herthum, George Kelly, John Randall, Sam Anderson, Margo Moorer, Ione M. Telech, Christine Seabrook, John Worsham, Peter Dobson, Alexander Zemeckis, Logan Livingston Gomez, Ben Waddel, Elizabeth Hanks, Tyler Long, Christopher Jones, Grady Bowman, Kevin Mangan, Fay Genens, Frank Geyer, Rob Landry, Jason McGuire, Pete Auster, Sonny Shroyer, Brett Rice, Ed Davis, Daniel C. Striepeke, Bruce Lucvia, David Brisbin, Kirk Ward, Angela Lomas, Timothy Record, Deborah McTeer, Mark Matheisen, Al Harrington, Jed Gillin, Bob Harks, Don Fischer, Kenneth Bevington, Michael Flannery, Gary Robinson, Marlena Smalls, Kitty K. Green, Afemo Omilami, Matt Wallace, Danté McCarthy, Paulie DiCocco, Mike Jolly, Michael Kemmerling, John Voldstad, Jeffrey Winner, Russ Wilson, Daniel J. Gillooly, Calvin Gadsden, Aaron Izbicki, Michael Burgess, Steven Griffith, Bill Roberson, Michael McFall, Eric Underwood, Steve DeRelian, Byron Minns, Stephen Bridgewater, Bonnie Ann Burgess, Scott Oliver, John William Galt, Hilary Chaplain, Isabel Rose, Jay Ross, Richard D'Alessandro, Dick Stilwell, Kevin Davis, Michael Jace, Geoffrey Blake, Tim Perry, Vanessa Roth, Emily Carey, Paul Raczkowski, Valentine, Dick Cavett, Joe Stefanelli, Tiffany Salerno, Marla Sucharetza, Aloysius Gigl, Jack Bowden, Joe Alaskey, Lazarus Jackson, W. Benson Terry, Matt Rebenkoff, Peter Bannon, Joe Washington, Nora Dunfee, Natalie Hendrix Tate, Hallie D'Amore, Jim Hanks, Chiffonye Cobb, Juan Singleton, Bobby Richardson, Michael Mattison, Lenny Herb, Charles Boswell, Timothy McNeil, Lonnie Hamilton, Teresa Denton, Kurt Russell, Mary Ellen Trainor, Robb Skyler, Michael J. Oliver, Bryan Hanna, Greg Brown, Brendan Shanahan, Troy Christian, Jacqueline Lovell, Zach Hanner, Aaron Michael Lacey, William Shipman, Eric Alan Wendell, John Simmit, Neal MacMillan, Beau Lotterman, Teddy Lane Jr., Jim Keller, Michael Garvey, James Ent, Jim Damron, Darren W. Conrad, Daniel Chamblin, Clint Calvert, Grand L. Bush, Jim Boeke, Marcus Batton, Beth Aylward, Rob Adams, Joe Abby, Elvis Presley","A man with a low IQ has accomplished great things in his life and been present during significant historic events—in each case, far exceeding what anyone imagined he could do. But despite all he has achieved, his one true love eludes him.",The world will never be the same once you've seen it through the eyes of Forrest Gump.
14,tt0169547,American Beauty,American Beauty,Released,en,False,False,1999-09-15,1999.0,9.0,3.0,15000000,356296601,341296601,23.753106733333333,122,15.491,8.0,13263,,0,Drama,DreamWorks Pictures,United States,Sam Mendes,"Kevin Spacey, Annette Bening, Thora Birch, Wes Bentley, Mena Suvari, Peter Gallagher, Allison Janney, Chris Cooper, Scott Bakula, Sam Robards, Barry Del Sherman, Ara Celi, John Cho, Hal Fort Atkinson, Sue Casey, Kent Faulcon, Brenda Wehle, Lisa Cloud, Alison Faulk, Krista Goodsitt, Lily Houtkin, Carolina Lancaster, Mona Leah, Chekesha Van Putten, Emily Zachary, Nanci Anderson, Reshma Gajjar, Stephanie Rizzo, Heather Joy Sher, Chelsea Hertford, Amber Smith, Joel McCrary, Marissa Jaret Winokur, Dennis Anderson, Matthew Kimbrough, Erin Cathryn Strubbe, Bruce Cohen, Elaine Corral Kendall, James Hunter, Spencer Kayden, Tom Miller","Lester Burnham, a depressed suburban father in a mid-life crisis, decides to turn his hectic life around after developing an infatuation with his daughter's attractive friend.",... look closer
15,tt0033467,Citizen Kane,Citizen Kane,Released,en,False,False,1941-04-17,1941.0,4.0,4.0,839727,23218000,22378273,27.649462265712547,119,9.898,8.0,6180,,0,Drama,RKO Radio Pictures,United States,Orson Welles,"Orson Welles, Joseph Cotten, Dorothy Comingore, Ray Collins, George Coulouris, Agnes Moorehead, Paul Stewart, Ruth Warrick, Erskine Sanford, William Alland, Everett Sloane, Fortunio Bonanova, Gus Schilling, Philip Van Zandt, Georgia Backus, Harry Shannon, Sonny Bupp, Buddy Swan, Gregg Toland, Don Ackerman, Gino Corrado, Maurice Costello, Demetrius Alexis, Gene Coogan, Art Dupuis, Rudy Germane, Mike Lally, Walter Lawrence, John Northpole, Victor Romito, Bob Terry, William Alston, Jack Gargan, Bert Moorhouse, Carmen Laroux, Sam Ash, Buddy Messinger, Terrance Ray, Sally Corner, Walter Bacon, Herbert Corthell, Harry A. Bailey, Danny Borzage, J.J. Clark, Tom Coleman, Carl Deloro, Jack Egan, Robert Haines, Ludwig Lowry, John McCormack, Hercules Mendez, Paddy O'Flynn, Sam Rice, Don Roberts, Larry Wheat, Larry Williams, Joan Blair, Morgan Brown, Harry Burkhardt, Edmund Cobb, Eddie Coke, Louis Natheaux, Arthur O'Connell, Guy Repp, Tom Steele, Richard Wilson, Louise Currie, Walter Sande, Jan Wiley, Milton Kibbee, Buck Mack, Alan Ladd, Thomas A. Curran, Jack Curtis, George Noisom, Gerald Pierce, Dona Dax, George DeNormand, Bud Geary, Bert LeBaron, Clyde McAtee, Cyril Ring, Roland Winters, Lew Harvey, Herman J. Mankiewicz, Eddie Dew, Perc Launders, John Dilson, Walter James, Robert Dudley, Suzanne Dulier, Al Eben, Johnny Eckert, Carl Ekberg, Edith Evanson, Carl Faulkner, Juanita Fields, Edna Mae Jones, Leda Nicova, Jolane Reynolds, Suzanne Ridgway, Olin Francis, Louise Franklin, Renee Godfrey, Peter Gowland, Jimmy Grant, Jesse Graves, Ernest Grooney, Jack Gwynne, Teddy Mangean, Henry Hebert, Bryan 'Slim' Hightower, Mitchell Ingraham, Philip Morris, Francis Sayles, George W. Jimenez, Ellen Lowe, James T. Mack, Mickey Martin, Bruce Sidney, Major McBride, Frank McLure, Charles Meakin, Edward Peil Jr., Irving Mitchell, Frances E. Neal, Lillian Nicholson, Joseph North, William H. O'Brien, Field Norton, Dick Scott, Frank O'Connor, Russ Powell, Bert Stevens, Thomas Pogue, Lillian O'Malley, Jack Raymond, Gohr Van Vleck, Myrtle Rishell, Benny Rubin, Shimen Ruskin, George Sherwood, Edward Ryan, Landers Stevens, Harry J. Vejar, Tudor Williams, Arthur Yeoman, Tim Davis, Charles Bennett, Arthur Kay, John Alban, Finn Zirzow, Sam Harris, Dorothy Cleveland","Newspaper magnate Charles Foster Kane is taken from his mother as a boy and made the ward of a rich industrialist. As a result, every well-meaning, tyrannical or self-destructive move he makes for the rest of his life appears in some way to be a reaction to that deeply wounding event.",Some called him a hero...others called him a heel.
16,tt0168629,Dancer in the Dark,Dancer in the Dark,Released,en,False,False,2000-09-01,2000.0,9.0,5.0,12500000,40061153,27561153,3.20489224,140,6.534,7.8,2052,,0,Drama,WDR,Germany,Lars von Trier,"Björk, Catherine Deneuve, David Morse, Peter Stormare, Joel Grey, Cara Seymour, Vladica Kostic, Jean-Marc Barr, Vincent Paterson, Siobhan Fallon Hogan, Željko Ivanek, Udo Kier, Jens Albinus, Reathel Bean, Mette Berggreen, Lars Michael Dinesen, Katrine Falkenberg, Michael Flessas, John Randolph Jones, Noah Lazarus, Sheldon Litt, Andrew Lucre, John Martinus, Luke Reilly, T.J. Rizzo, Stellan Skarsgård, Sean-Michael Smith, Paprika Steen, Eric Voge, Nick Wolf, Timm Zimmermann, Al Agami, Alex Mouro, Alexander Arli, Allan Gyldenkærne, Ami Eklöf-Annell, Ana Christine Broström, Anders Tärneberg, Anders Thorhauge, Anders-Peter Torsleff Hansen, Ann Crosset, Anna David, Anna Norberg, Anna Rosenberg, Annette Lindholm, Anthony Ajoise Olufemi Jacob, Birgitte Skands, Bjorn Ahlander, Bo Westerholm, Bobo Eriksson, Britt Bendixen, Carl Johan De Neergaard, Carol Linda Nielsen, Claus Berenhard, Cristian Valle, Diana G.L. Watson, Ed Hickok, Edvin Karsson, Eli Stalhand, Elin Johansson, Emilie Bendz, Erik Dammann, Erik Drugge, Fredrik Börgesson, Frederik Mondrup, Marianne Bengtsson, Karoliina Heiskanen, Troels Asmussen, Caroline Sascha Cogez","Selma, a Czech immigrant on the verge of blindness, struggles to make ends meet for herself and her son, who has inherited the same genetic disorder and will suffer the same fate without an expensive operation. When life gets too difficult, Selma learns to cope through her love of musicals, dreaming up little numbers to the rhythmic beats of her surroundings.","In a world of shadows, she found the light of life."
18,tt0119116,The Fifth Element,Le Cinquième Élément,Released,fr,False,False,1997-05-02,1997.0,5.0,5.0,90000000,263920180,173920180,2.9324464444444445,126,26.652,7.6,12041,,0,Adventure,Gaumont,France,Luc Besson,"Bruce Willis, Milla Jovovich, Gary Oldman, Ian Holm, Chris Tucker, Luke Perry, Brion James, Tommy Lister Jr., Lee Evans, Charlie Creed-Miles, Tricky, John Neville, John Bluthal, Mathieu Kassovitz, Christopher Fairbank, Kim Chan, Richard Leaf, Julie T. Wallace, Al Matthews, Maïwenn, John Bennett, Ivan Heng, Sonita Henry, Tim McMullan, Hon Ping Tang, George Khan, John Hughes, Roberto Bryce, Said Talidi, Justin Lee Burrows, Richard Ashton, Jerome St. John Blake, Kevin Molloy, Bill Reimbold, Colin Brooks, Anthony Chinn, Sam Douglas, Derek Ezenagu, David Kennedy, David Barrass, Roger Monk, Mac McDonald, Mark Seaton, Jean-Luc Caron, Riz Meedin, Jerry Ezekiel, Indra Ové, Nicole Merry, Stacey McKenzie, Rachel Willis, Genevieve Maylam, Josie Perez, Natasha Brice, Sophia Goth, Martin McDougall, Peter Dunwell, Paul Priestley, Jason Salkey, Stewart Harvey-Wilson, David Fishley, Carlton Chance, Gin Clarke, Vladimir McCrary, Clifton Lloyd Bryan, Aron Paramor, Alan Ruscoe, Christopher Adamson, Ève Salvail, Kaleem Janjua, Tyrone Tyrell, Kevin Brewerton, Vincenzo Pellegrino, Ian Beckett, Sonny Caldinez, Zeta Graff, Eddie Ellwood, Yui, Laura De Palma, Michael Culkin, Lenny McLean, Robert Oates, John Sharian, Fred Williams, Sibyl Buck, Sarah Carrington, Grant James, Ali Yassine, Sean Buckley, Dane Messam, Nathan Hamlett, Cecil Cheng, Scott Woods, Leon Dekker, David Garvey, Stanley Kowalski, Omar Hibbert Williams, Robert Clapperton, Robert Alexander, Mia Frye, Leo Williams, C. Keith Martin, J.D. Dawodu, Patrick Nicholls, Shaun Davis, Roy Garcia Singh, Alex Georgijev, Marie Guillard, Renee Montemayor, Stina Richardson, Gillian M. Berrow, François Guillaume, Kristen Fick, Anita Koh, Kamay Lau, Inva Mula, Gito Santana, Frank Senger, Joss Skottowe, Fred Wood, Roger Wright","In 2257, a taxi driver is unintentionally given the task of saving a young girl who is part of the key that will ensure the survival of humanity.",There is no future without it.
19,tt0017136,Metropolis,Metropolis,Released,de,False,False,1927-01-10,1927.0,1.0,1.0,5300000,1350322,-3949678,0.2547777358490566,148,7.248,8.1,3172,,0,Drama,UFA,Germany,Fritz Lang,"Gustav Fröhlich, Brigitte Helm, Alfred Abel, Rudolf Klein-Rogge, Theodor Loos, Fritz Rasp, Erwin Biswanger, Heinrich George, Fritz Alberti, Grete Berger, Olly Boeheim, Heinrich Gotho, Gottfried Huppertz, Georg John, Margarete Lanner, Rose Lichtenstein, Hanns Leo Reich, Arthur Reinhardt, Curt Siodmak, Henrietta Siodmak, Olaf Storm, Rolf von Goth, Helen von Münchofen, Helene Weigel, Anita Berber","In a futuristic city sharply divided between the rich and the poor, the son of the city's mastermind meets a prophet who predicts the coming of a savior to mediate their differences.",There can be no understanding between the hands and the brain unless the heart acts as mediator.
