iter	RMSE
0	1.356472703
1	1.329155936
2	1.302802498
3	1.277217715
4	1.25390891
5	1.233443658
6	1.212493448
7	1.193711177
8	1.1768748
9	1.161402547
10	1.145516083
11	1.131009369
12	1.118019648
13	1.10554819
14	1.095324715
15	1.085264435
16	1.075325729
17	1.06600359
18	1.057967652
19	1.049933878
20	1.04252669
21	1.0350506
22	1.028581353
23	1.022576323
24	1.016971687
25	1.012010949
26	1.006797606
27	1.00244339
28	0.998263496
29	0.9942771982
30	0.9902983128
31	0.9864018174
32	0.9826013974
33	0.9790657873
34	0.976020482
35	0.9736402164
36	0.9709597216
37	0.9684725484
38	0.9656305535
39	0.9633635169
40	0.9612970901
41	0.9589479825
42	0.95645357
43	0.9543489035
44	0.9525323679
45	0.9505001183
46	0.9489770667
47	0.94681908
48	0.9451421224
49	0.943532574
50	0.9421753527
51	0.9401662022
52	0.9386239241
53	0.937358808
54	0.9359319755
55	0.9344872755
56	0.9334482736
57	0.9321685144
58	0.9309901976
59	0.9295997886
60	0.928655615
61	0.9278691053
62	0.9264529352
63	0.9254722481
64	0.924612597
65	0.923333756
66	0.9227015353
67	0.9217728559
68	0.9207225076
69	0.9199292299
70	0.9191133054
71	0.9182242607
72	0.9173044732
73	0.9163172518
74	0.9155297079
75	0.9147161319
76	0.9139528112
77	0.913194122
78	0.9125481918
79	0.9117691712
80	0.9110077553
81	0.9102242158
82	0.9096313876
83	0.9089283417
84	0.9081562156
85	0.9073481167
86	0.9067498583
87	0.9059712148
88	0.9050248684
89	0.9047085059
90	0.9035718259
91	0.9028826558
92	0.9025078607
93	0.9017592677
94	0.9011636399
95	0.9006211687
96	0.9001194034
97	0.8996273234
98	0.8988177603
99	0.8982610442
100	0.8977087824
101	0.8972420582
102	0.8966208304
103	0.89594777
104	0.8954721087
105	0.894630023
106	0.8940495148
107	0.8933554946
108	0.8929772353
109	0.892392397
110	0.8918754
111	0.8914978944
112	0.8909114972
113	0.8903753907
114	0.8896966273
115	0.8892637407
116	0.8886327334
117	0.8882848027
118	0.8875672754
119	0.8866202353
120	0.8858948003
121	0.8852019234
122	0.8849157189
123	0.8843089428
124	0.8836389995
125	0.8831779372
126	0.8828712131
127	0.8826831412
128	0.8820916767
129	0.8816238003
130	0.8814796653
131	0.8809237211
132	0.8805971151
133	0.8800486603
134	0.8795463471
135	0.8790955568
136	0.8786627117
137	0.8781360324
138	0.8775517757
139	0.8770656621
140	0.876557582
141	0.8760134671
142	0.87549767
143	0.8752402328
144	0.8749865469
145	0.8745472249
146	0.8739869066
147	0.8734422272
148	0.872897996
149	0.8723179216
150	0.8718625717
151	0.8714992411
152	0.8710375243
153	0.870420095
154	0.8701406974
155	0.8697118731
156	0.8692841193
157	0.8690527192
158	0.8687386398
159	0.8683054625
160	0.8677636895
161	0.8671299051
162	0.8666587289
163	0.8662095552
164	0.8658335699
165	0.8652508805
166	0.8649915232
167	0.8648286813
168	0.864234314
169	0.8633940603
170	0.863182908
171	0.8627154813
172	0.8622503349
173	0.8615451012
174	0.8608059635
175	0.860639765
176	0.860097777
177	0.8594409696
178	0.8589149353
179	0.8582806009
180	0.8577016953
181	0.8573284264
182	0.8570900918
183	0.8566483336
184	0.8561590555
185	0.8556963435
186	0.8551005896
187	0.8548848548
188	0.8541322845
189	0.8535129703
190	0.8532887794
191	0.8527206269
192	0.8521697836
193	0.8517904503
194	0.8512826784
195	0.85083534
196	0.8501809197
197	0.8496990133
198	0.8492751724
199	0.848973814
200	0.8482854678
201	0.8480285804
202	0.8474440583
203	0.8472326409
204	0.8470388467
205	0.846673782
206	0.8460198121
207	0.845418003
208	0.8447796308
209	0.8443783173
210	0.8439408194
211	0.8436716187
212	0.8432748349
213	0.8426983017
214	0.8423140003
215	0.8419099346
216	0.8414827086
217	0.841121686
218	0.8404703445
219	0.8400468894
220	0.8394943867
221	0.8390925613
222	0.8386608406
223	0.8383227888
224	0.8378217834
225	0.8373235855
226	0.8368306699
227	0.8363309016
228	0.835739181
229	0.835379038
230	0.8351817539
231	0.8347362363
232	0.8340917302
233	0.833733039
234	0.8332979428
235	0.8324957748
236	0.8318502188
237	0.831459775
238	0.8311117216
239	0.8308694714
240	0.8306394854
241	0.830267526
242	0.8299488186
243	0.8295273537
244	0.8290256225
245	0.8284010564
246	0.8278976294
247	0.8276067451
248	0.8273545446
249	0.8271309987
250	0.8269146116
251	0.8265983563
252	0.8262945245
253	0.8259881512
254	0.8256205639
255	0.8255131366
256	0.8252348358
257	0.824835073
258	0.8246125996
259	0.8241181396
260	0.823431854
261	0.8230557217
262	0.8225910358
263	0.8224217548
264	0.8219290499
265	0.8216184315
266	0.8209917821
267	0.8206456361
268	0.8202477644
269	0.819478421
270	0.8189351451
271	0.8185223186
272	0.8181436863
273	0.8176813468
274	0.8174812446
275	0.8173321516
276	0.816803508
277	0.8162304362
278	0.8159307594
279	0.8157430955
280	0.8152048091
281	0.8151162523
282	0.8146538486
283	0.8143800931
284	0.8138753592
285	0.8136626639
286	0.8132551047
287	0.8130269786
288	0.8126096708
289	0.8122195653
290	0.8118107421
291	0.8113948624
292	0.8108949622
293	0.8107303274
294	0.8102107706
295	0.8100121491
296	0.8096299919
297	0.8093281016
298	0.8089183035
299	0.8084484078
300	0.8080972408
301	0.8077322391
302	0.8074805765
303	0.8071086597
304	0.8065660117
305	0.8061041873
306	0.8058750772
307	0.8054259142
308	0.8049676288
309	0.8045023097
310	0.8042365851
311	0.803966126
312	0.8033711766
313	0.8028723917
314	0.8026302589
315	0.8024374522
316	0.8020749519
317	0.8016452234
318	0.8012496906
319	0.8010842775
