iter	Passed	Remaining
0	1	1760
1	2	1325
2	3	1164
3	4	1074
4	5	1004
5	5	954
6	6	914
7	7	887
8	7	869
9	8	853
10	9	837
11	10	846
12	10	833
13	11	824
14	12	815
15	13	815
16	14	816
17	14	815
18	15	809
19	16	803
20	17	798
21	17	796
22	18	799
23	19	799
24	20	796
25	21	793
26	21	787
27	22	783
28	23	779
29	23	774
30	24	770
31	25	767
32	26	764
33	26	762
34	27	759
35	28	756
36	29	757
37	29	754
38	30	752
39	31	751
40	31	747
41	32	745
42	33	743
43	34	741
44	34	738
45	35	736
46	36	734
47	37	734
48	37	734
49	38	734
50	39	732
51	40	730
52	40	728
53	41	726
54	42	724
55	42	723
56	43	722
57	44	721
58	45	721
59	45	720
60	46	718
61	47	716
62	48	714
63	48	712
64	49	711
65	50	710
66	50	708
67	51	708
68	52	707
69	53	706
70	53	704
71	54	703
72	55	702
73	55	700
74	56	698
75	57	696
76	58	695
77	58	694
78	59	695
79	60	696
80	61	695
81	61	694
82	62	693
83	63	691
84	64	690
85	64	690
86	65	689
87	66	687
88	67	686
89	67	684
90	68	683
91	69	683
92	69	682
93	70	681
94	71	680
95	72	679
96	72	677
97	73	676
98	74	675
99	74	673
100	75	673
101	76	673
102	77	673
103	78	672
104	78	671
105	79	670
106	80	669
107	80	668
108	81	666
109	82	665
110	82	664
111	83	663
112	84	662
113	85	661
114	85	660
115	86	660
116	87	659
117	88	659
118	89	660
119	90	660
120	90	660
121	91	660
122	92	660
123	93	659
124	94	660
125	95	660
126	95	659
127	96	658
128	97	657
129	98	656
130	98	655
131	99	654
132	100	653
133	100	652
134	101	651
135	102	650
136	103	649
137	103	648
138	104	647
139	105	646
140	105	645
141	106	644
142	107	643
143	108	642
144	108	641
145	109	642
146	110	641
147	111	640
148	112	639
149	112	638
150	113	637
151	114	636
152	114	635
153	115	634
154	116	634
155	117	634
156	117	633
157	118	632
158	119	631
159	120	630
160	120	629
161	121	628
162	122	627
163	122	626
164	123	625
165	124	624
166	125	623
167	125	623
168	126	622
169	127	621
170	127	620
171	128	619
172	129	618
173	130	617
174	130	616
175	131	615
176	132	614
177	132	612
178	133	611
179	134	610
180	134	610
181	135	609
182	136	608
183	137	609
184	138	608
185	138	607
186	139	606
187	140	605
188	141	605
189	142	605
190	142	604
191	143	603
192	144	602
193	144	601
194	145	601
195	146	600
196	147	599
197	147	598
198	148	597
199	149	596
200	149	595
201	150	594
202	151	594
203	152	593
204	152	592
205	153	591
206	154	590
207	154	589
208	155	588
209	156	587
210	157	587
211	157	586
212	158	586
213	159	585
214	160	584
215	160	583
216	161	582
217	162	581
218	162	581
219	163	580
220	164	579
221	165	578
222	165	577
223	166	576
224	167	575
225	167	575
226	168	574
227	169	573
228	169	572
229	170	571
230	171	570
231	172	569
232	172	569
233	173	568
234	174	567
235	175	567
236	176	566
237	176	566
238	177	565
239	178	565
240	179	564
241	180	564
242	180	563
243	181	562
244	182	561
245	182	560
246	183	560
247	184	559
248	185	560
249	186	559
250	187	558
251	187	558
252	188	557
253	189	557
254	190	556
255	191	555
256	191	555
257	192	554
258	193	553
259	194	552
260	194	551
261	195	550
262	196	549
263	197	549
264	197	548
265	198	547
266	199	547
267	199	546
268	200	545
269	201	544
270	202	544
271	203	543
272	203	543
273	204	542
274	205	542
275	206	542
276	207	542
277	208	541
278	209	541
279	210	540
280	211	540
281	212	539
282	212	539
283	213	538
284	214	539
285	215	538
286	216	538
287	217	537
288	219	539
289	221	543
290	222	543
291	223	542
292	224	542
293	225	541
294	226	540
295	227	539
296	227	539
297	228	538
298	229	537
299	230	536
300	230	535
301	231	534
302	232	533
303	232	532
304	233	531
305	234	531
306	234	530
307	235	529
308	236	528
309	237	528
310	237	527
311	238	526
312	239	525
313	240	524
314	240	524
315	241	523
316	242	522
317	243	521
318	244	520
319	244	519
