experiment_id,feature_set,model,hyperparameters,train_period,validation_period,test_period,mae,rmse,r2,raw_rmse,raw_mae,notes
naive,naive,median,median log1p revenue,<=2016,2017-2021,>=2022,1.3369,1.6381,-0.0009,273192864.0,109816387.0,baseline: median train log revenue
linear_bare,basic_numeric,LinearRegression,median-impute+standardise,<=2016,2017-2021,>=2022,0.9524,1.1867,0.4747,226293575.0,86535524.0,"numbers only, no categoricals"
xgb_basic,basic,XGBRegressor,"{'n_estimators': 500, 'max_depth': 6, 'learning_rate': 0.05, 'subsample': 0.9, 'colsample_bytree': 0.8, 'random_state': 42, 'verbosity': 0, 'early_stopping_rounds': 20}",<=2016,2017-2021,>=2022,0.902,1.1518,0.5052,188219797.0,80820416.0,initial XGBoost on basic set
basic,basic,XGBRegressor,"{'n_estimators': 500, 'max_depth': 6, 'learning_rate': 0.05, 'subsample': 0.9, 'colsample_bytree': 0.8, 'random_state': 42, 'verbosity': 0, 'early_stopping_rounds': 20}",<=2016,2017-2021,>=2022,0.902,1.1518,0.5052,188219797.0,80820416.0,incremental feature stage
production,production,XGBRegressor,"{'n_estimators': 500, 'max_depth': 6, 'learning_rate': 0.05, 'subsample': 0.9, 'colsample_bytree': 0.8, 'random_state': 42, 'verbosity': 0, 'early_stopping_rounds': 20}",<=2016,2017-2021,>=2022,0.845,1.0831,0.5625,194505734.0,78314324.0,incremental feature stage
people,people,XGBRegressor,"{'n_estimators': 500, 'max_depth': 6, 'learning_rate': 0.05, 'subsample': 0.9, 'colsample_bytree': 0.8, 'random_state': 42, 'verbosity': 0, 'early_stopping_rounds': 20}",<=2016,2017-2021,>=2022,0.8524,1.0775,0.567,198297029.0,78447434.0,incremental feature stage
historical,historical,XGBRegressor,"{'n_estimators': 500, 'max_depth': 6, 'learning_rate': 0.05, 'subsample': 0.9, 'colsample_bytree': 0.8, 'random_state': 42, 'verbosity': 0, 'early_stopping_rounds': 20}",<=2016,2017-2021,>=2022,0.8166,1.0495,0.5892,179112263.0,72086509.0,incremental feature stage
historical_lead,historical_lead,XGBRegressor,"{'n_estimators': 500, 'max_depth': 6, 'learning_rate': 0.05, 'subsample': 0.9, 'colsample_bytree': 0.8, 'random_state': 42, 'verbosity': 0, 'early_stopping_rounds': 20}",<=2016,2017-2021,>=2022,0.813,1.0453,0.5924,183216522.0,71512857.0,incremental feature stage
advanced,advanced,XGBRegressor,"{'n_estimators': 500, 'max_depth': 6, 'learning_rate': 0.05, 'subsample': 0.9, 'colsample_bytree': 0.8, 'random_state': 42, 'verbosity': 0, 'early_stopping_rounds': 20}",<=2016,2017-2021,>=2022,0.8205,1.052,0.5872,176628132.0,72854493.0,incremental feature stage
alg_linear_regression,historical_lead,linear_regression,SimpleImputer(median)+StandardScaler+LinearRegression,<=2016,2017-2021,>=2022,0.8381,1.0633,0.5783,189652517.0,75961470.0,algorithm comparison on frozen feature set
alg_random_forest,historical_lead,random_forest,"n_estimators=500,min_samples_leaf=5,seed=42",<=2016,2017-2021,>=2022,0.8419,1.077,0.5674,174104275.0,74018350.0,algorithm comparison on frozen feature set
alg_xgboost,historical_lead,xgboost,"{'n_estimators': 500, 'max_depth': 6, 'learning_rate': 0.05, 'subsample': 0.9, 'colsample_bytree': 0.8, 'random_state': 42, 'verbosity': 0, 'early_stopping_rounds': 20}",<=2016,2017-2021,>=2022,0.813,1.0453,0.5924,183216522.0,71512857.0,algorithm comparison on frozen feature set
alg_lightgbm,historical_lead,lightgbm,"n_estimators=500,lr=0.05,subsample=0.9,colsample=0.8,seed=42",<=2016,2017-2021,>=2022,0.8416,1.0719,0.5715,176089270.0,73552286.0,algorithm comparison on frozen feature set
alg_ridge,historical_lead,ridge,"Ridge(alpha=10), imputed+scaled",<=2016,2017-2021,>=2022,0.8384,1.0636,0.5781,189686314.0,76000729.0,round-2 model expansion
alg_lasso,historical_lead,lasso,"Lasso(alpha=1e-3), imputed+scaled",<=2016,2017-2021,>=2022,0.8381,1.0632,0.5784,189639405.0,75958474.0,round-2 model expansion
alg_elasticnet,historical_lead,elasticnet,"ElasticNet(alpha=1e-3,l1_ratio=0.5), imputed+scaled",<=2016,2017-2021,>=2022,0.8381,1.0632,0.5784,189655366.0,75972971.0,round-2 model expansion
alg_svr,historical_lead,svr,"SVR(RBF,C=10,eps=0.1), imputed+scaled",<=2016,2017-2021,>=2022,0.9535,1.2111,0.4529,204334915.0,87370676.0,round-2 model expansion
alg_knn,historical_lead,knn,"kNN(k=15,dist-weight), imputed+scaled",<=2016,2017-2021,>=2022,0.9667,1.2309,0.4349,205814060.0,80260436.0,round-2 model expansion
alg_mlp,historical_lead,mlp,"MLP(64-32,adam,lr=1e-3,iters=800), imputed+scaled",<=2016,2017-2021,>=2022,1.1276,1.4565,0.2088,1096963648.0,228917399.0,round-2 model expansion
alg_histgb,historical_lead,histgb,"HistGB(max_iter=500,lr=0.05,leaf_nodes=31)",<=2016,2017-2021,>=2022,0.8335,1.0719,0.5715,173885754.0,73116201.0,round-2 model expansion
alg_catboost,historical_lead,catboost,"CatBoost(iters=1000,lr=0.05,depth=6), early-stop=20",<=2016,2017-2021,>=2022,0.8147,1.0501,0.5887,178274115.0,72449974.0,round-2 model expansion
alg_ensemble,historical_lead,weighted_blend,"val-R2-weighted blend of [xgboost, lightgbm, catboost, histgb, random_forest]",<=2016,2017-2021,>=2022,0.8164,1.0497,0.589,174993675.0,71633250.0,"tree-ensemble blend weights: xgboost:0.20, lightgbm:0.20, catboost:0.20, histgb:0.20, random_forest:0.20"
alg_xgboost_tuned,historical_lead,xgboost_tuned,"{'learning_rate': 0.03, 'max_depth': 4, 'subsample': 0.8, 'colsample_bytree': 0.8}",<=2016,2017-2021,>=2022,0.8109,1.0468,0.5913,173347575.0,71628242.0,selected on val R2 from 4-combo scan
